"","Id","MSSubClass","MSZoning","LotFrontage","LotArea","Street","Alley","LotShape","LandContour","Utilities","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","Heating","HeatingQC","CentralAir","Electrical","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","PoolQC","Fence","MiscFeature","MiscVal","MoSold","YrSold","SaleType","SaleCondition","SalePrice"
"17",17,20,"RL",0.69,112.41,"Pave","None","IR1","Lvl","AllPub","CulDSac","Gtl","NAmes","Norm","Norm","1Fam","1Story",6,7,1970,1970,"Gable","CompShg","Wd Sdng","Wd Sdng","BrkFace",180,"TA","TA","CBlock","TA","TA","No","ALQ",5.78,"Unf",0,4.26,10.04,"GasA","Ex","Y","SBrkr",1004,0,0,10.04,1,0,1,0,2,1,"TA",5,"Typ",1,"TA","Attchd",1970,"Fin",2,4.8,"TA","TA","Y",0,0,0,0,0,0,"None","None","Shed",700,3,2010,"WD","Normal",149000
"19",19,20,"RL",0.66,136.95,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","SawyerW","RRAe","Norm","1Fam","1Story",5,5,2004,2004,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","PConc","TA","TA","No","GLQ",6.46,"Unf",0,4.68,11.14,"GasA","Ex","Y","SBrkr",1114,0,0,11.14,1,0,1,1,3,1,"Gd",6,"Typ",0,"None","Detchd",2004,"Unf",2,5.76,"TA","TA","Y",0,1.02,0,0,0,0,"None","None","None",0,6,2008,"WD","Normal",159000
"20",20,20,"RL",0.7,75.6,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,6,1958,1965,"Hip","CompShg","BrkFace","Plywood","None",0,"TA","TA","CBlock","TA","TA","No","LwQ",5.04,"Unf",0,5.25,10.29,"GasA","TA","Y","SBrkr",1339,0,0,13.39,0,0,1,0,3,1,"TA",6,"Min1",0,"None","Attchd",1958,"Unf",1,2.94,"TA","TA","Y",0,0,0,0,0,0,"None","MnPrv","None",0,5,2009,"COD","Abnorml",139000
"22",22,45,"RM",0.57,74.49,"Pave","Grvl","Reg","Bnk","AllPub","Inside","Gtl","IDOTRR","Norm","Norm","1Fam","1.5Unf",7,7,1930,1950,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","PConc","TA","TA","No","Unf",0,"Unf",0,6.37,6.37,"GasA","Ex","Y","FuseF",1108,0,0,11.08,0,0,1,0,3,1,"Gd",6,"Typ",1,"Gd","Attchd",1930,"Unf",1,2.8,"TA","TA","N",0,0,2.05,0,0,0,"None","GdPrv","None",0,6,2007,"WD","Normal",139400
"24",24,120,"RM",0.44,42.24,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","MeadowV","Norm","Norm","TwnhsE","1Story",5,7,1976,1976,"Gable","CompShg","CemntBd","CmentBd","None",0,"TA","TA","PConc","Gd","TA","No","GLQ",8.4,"Unf",0,2,10.4,"GasA","TA","Y","SBrkr",1060,0,0,10.6,1,0,1,0,3,1,"TA",6,"Typ",1,"TA","Attchd",1976,"Unf",2,5.72,"TA","TA","Y",1,1.1,0,0,0,0,"None","None","None",0,6,2007,"WD","Normal",129900
"25",25,20,"RL",0.69,82.46,"Pave","None","IR1","Lvl","AllPub","Inside","Gtl","Sawyer","Norm","Norm","1Fam","1Story",5,8,1968,2001,"Gable","CompShg","Plywood","Plywood","None",0,"TA","Gd","CBlock","TA","TA","Mn","Rec",1.88,"ALQ",6.68,2.04,10.6,"GasA","Ex","Y","SBrkr",1060,0,0,10.6,1,0,1,0,3,1,"Gd",6,"Typ",1,"TA","Attchd",1968,"Unf",1,2.7,"TA","TA","Y",4.06,0.9,0,0,0,0,"None","MnPrv","None",0,5,2010,"WD","Normal",154000
"27",27,20,"RL",0.6,72,"Pave","None","Reg","Lvl","AllPub","Corner","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,7,1951,2000,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","CBlock","TA","TA","Mn","BLQ",2.34,"Rec",4.86,1.8,9,"GasA","TA","Y","SBrkr",900,0,0,9,0,1,1,0,3,1,"Gd",5,"Typ",0,"None","Detchd",2005,"Unf",2,5.76,"TA","TA","Y",2.22,0.32,0,0,0,0,"None","None","None",0,5,2010,"WD","Normal",134800
"32",32,20,"RL",0.69,85.44,"Pave","None","IR1","Lvl","AllPub","CulDSac","Gtl","Sawyer","Norm","Norm","1Fam","1Story",5,6,1966,2006,"Gable","CompShg","HdBoard","HdBoard","None",0,"TA","TA","CBlock","TA","TA","No","Unf",0,"Unf",0,12.28,12.28,"GasA","Gd","Y","SBrkr",1228,0,0,12.28,0,0,1,1,3,1,"Gd",6,"Typ",0,"None","Attchd",1966,"Unf",1,2.71,"TA","TA","Y",0,0.65,0,0,0,0,"None","MnPrv","None",0,6,2008,"WD","Normal",149350
"34",34,20,"RL",0.7,105.52,"Pave","None","IR1","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,5,1959,1959,"Hip","CompShg","BrkFace","BrkFace","None",0,"TA","TA","CBlock","TA","TA","No","Rec",10.18,"Unf",0,3.8,13.98,"GasA","Gd","Y","SBrkr",1700,0,0,17,0,1,1,1,4,1,"Gd",6,"Typ",1,"Gd","Attchd",1959,"RFn",2,4.47,"TA","TA","Y",0,0.38,0,0,0,0,"None","None","None",0,4,2010,"WD","Normal",165500
"37",37,20,"RL",1.12,108.59,"Pave","None","Reg","Lvl","AllPub","Corner","Gtl","CollgCr","Norm","Norm","1Fam","1Story",5,5,1994,1995,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,10.97,10.97,"GasA","Ex","Y","SBrkr",1097,0,0,10.97,0,0,1,1,3,1,"TA",6,"Typ",0,"None","Attchd",1995,"Unf",2,6.72,"TA","TA","Y",3.92,0.64,0,0,0,0,"None","None","None",0,6,2009,"WD","Normal",145000
"41",41,20,"RL",0.84,86.58,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",6,5,1965,1965,"Gable","CompShg","Wd Sdng","Wd Sdng","BrkFace",101,"TA","TA","CBlock","TA","TA","No","Rec",6.43,"Unf",0,4.45,10.88,"GasA","Ex","Y","SBrkr",1324,0,0,13.24,0,0,2,0,3,1,"TA",6,"Typ",1,"TA","Attchd",1965,"RFn",2,4.4,"TA","TA","Y",0,1.38,0,0,0,0,"None","GdWo","None",0,12,2006,"WD","Abnorml",160000
"42",42,20,"RL",1.15,169.05,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","Timber","Norm","Norm","1Fam","1Story",5,6,1959,1959,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","Gd","CBlock","TA","TA","Gd","BLQ",9.67,"Unf",0,3.83,13.5,"GasA","Gd","Y","SBrkr",1328,0,0,13.28,0,1,1,1,2,1,"TA",5,"Typ",2,"Gd","Attchd",1959,"RFn",1,3.08,"TA","TA","P",0,1.04,0,0,0,0,"None","None","None",0,7,2007,"WD","Normal",170000
"43",43,85,"RL",0.69,91.8,"Pave","None","IR1","Lvl","AllPub","CulDSac","Gtl","SawyerW","Norm","Norm","1Fam","SFoyer",5,7,1983,1983,"Gable","CompShg","HdBoard","HdBoard","None",0,"TA","TA","CBlock","Gd","TA","Av","ALQ",7.47,"LwQ",0.93,0,8.4,"GasA","Gd","Y","SBrkr",884,0,0,8.84,1,0,1,0,2,1,"Gd",5,"Typ",0,"None","Attchd",1983,"RFn",2,5.04,"TA","Gd","Y",2.4,0,0,0,0,0,"None","MnPrv","None",0,12,2007,"WD","Normal",144000
"44",44,20,"RL",0.69,92,"Pave","None","IR1","Lvl","AllPub","CulDSac","Gtl","CollgCr","Norm","Norm","1Fam","1Story",5,6,1975,1980,"Hip","CompShg","VinylSd","VinylSd","None",0,"TA","TA","CBlock","Gd","TA","Av","LwQ",2.8,"BLQ",4.91,1.67,9.38,"GasA","TA","Y","SBrkr",938,0,0,9.38,1,0,1,0,3,1,"TA",5,"Typ",0,"None","Detchd",1977,"Unf",1,3.08,"TA","TA","Y",1.45,0,0,0,0,0,"None","MnPrv","None",0,7,2008,"WD","Normal",130250
"45",45,20,"RL",0.7,79.45,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,6,1959,1959,"Gable","CompShg","BrkFace","Wd Sdng","None",0,"TA","TA","CBlock","TA","TA","No","ALQ",1.79,"BLQ",5.06,4.65,11.5,"GasA","Ex","Y","FuseA",1150,0,0,11.5,1,0,1,0,3,1,"TA",6,"Typ",0,"None","Attchd",1959,"RFn",1,3,"TA","TA","Y",0,0,0,0,0,0,"None","None","None",0,5,2006,"WD","Normal",141000
"50",50,20,"RL",0.66,77.42,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","Sawyer","Norm","Norm","1Fam","1Story",5,7,1966,1966,"Gable","CompShg","HdBoard","HdBoard","None",0,"TA","TA","CBlock","TA","TA","No","BLQ",7.63,"Unf",0,1.92,9.55,"GasA","Ex","Y","SBrkr",955,0,0,9.55,1,0,1,0,3,1,"TA",6,"Typ",0,"None","Attchd",1966,"Unf",1,3.86,"TA","TA","Y",0,0,0,0,0,0,"None","MnPrv","None",0,1,2007,"WD","Normal",127000
"51",51,60,"RL",0.69,138.69,"Pave","None","IR2","Lvl","AllPub","Corner","Gtl","Gilbert","Norm","Norm","1Fam","2Story",6,6,1997,1997,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","PConc","Gd","TA","Av","GLQ",1.82,"Unf",0,6.12,7.94,"GasA","Gd","Y","SBrkr",794,676,0,14.7,0,1,2,0,3,1,"TA",6,"Typ",0,"None","Attchd",1997,"Fin",2,3.88,"TA","TA","Y",0,0.75,0,0,0,0,"None","None","None",0,7,2007,"WD","Normal",177000
"52",52,50,"RM",0.52,62.4,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","BrkSide","Norm","Norm","1Fam","1.5Fin",6,6,1934,1950,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","PConc","TA","TA","No","Unf",0,"Unf",0,8.16,8.16,"GasA","TA","Y","SBrkr",816,0,3.6,11.76,0,0,1,0,3,1,"TA",6,"Typ",1,"Gd","Detchd",1985,"Unf",2,5.28,"TA","TA","Y",1.12,0,0,0,0,0,"None","MnPrv","Shed",400,9,2006,"WD","Normal",114500
"53",53,90,"RM",1.1,84.72,"Grvl","None","IR2","Bnk","AllPub","Corner","Mod","IDOTRR","RRNn","Norm","Duplex","1Story",5,5,1963,1963,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"Fa","TA","CBlock","Gd","TA","Gd","LwQ",1.04,"GLQ",7.12,0,8.16,"GasA","TA","N","SBrkr",816,0,0,8.16,1,0,1,0,2,1,"TA",5,"Typ",0,"None","CarPort",1963,"Unf",2,5.16,"TA","TA","Y",1.06,0,0,0,0,0,"None","None","None",0,5,2010,"WD","Normal",110000
"55",55,80,"RL",0.6,71.34,"Pave","None","Reg","Bnk","AllPub","Inside","Mod","NAmes","Norm","Norm","1Fam","SLvl",5,5,1955,1955,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","CBlock","TA","TA","No","ALQ",3.84,"Unf",0,0,3.84,"GasA","TA","Y","SBrkr",1360,0,0,13.6,0,0,1,0,3,1,"TA",6,"Min1",1,"TA","Detchd",1962,"Unf",2,5.72,"TA","TA","Y",0,0.5,0,0,0,0,"None","MnPrv","None",0,2,2007,"WD","Normal",130000
"56",56,20,"RL",1,101.75,"Pave","None","IR1","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",6,5,1964,1964,"Gable","CompShg","HdBoard","Plywood","BrkFace",272,"TA","TA","CBlock","TA","TA","No","BLQ",4.9,"Unf",0,9.35,14.25,"GasA","Gd","Y","SBrkr",1425,0,0,14.25,0,0,2,0,3,1,"TA",7,"Typ",1,"Gd","Attchd",1964,"RFn",2,5.76,"TA","TA","Y",0,0,0,407,0,0,"None","None","None",0,7,2008,"WD","Normal",180500
"58",58,60,"RL",0.89,116.45,"Pave","None","IR1","Lvl","AllPub","Corner","Gtl","CollgCr","Norm","Norm","1Fam","2Story",7,5,2004,2004,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,8.6,8.6,"GasA","Ex","Y","SBrkr",860,860,0,17.2,0,0,2,1,3,1,"Gd",7,"Typ",0,"None","Attchd",2004,"RFn",2,5.65,"TA","TA","Y",0,0.7,0,0,0,0,"None","None","None",0,8,2006,"WD","Normal",196500
"60",60,20,"RL",0.6,72,"Pave","None","Reg","Bnk","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","1Story",5,7,1972,1972,"Gable","CompShg","HdBoard","HdBoard","None",0,"TA","TA","CBlock","TA","TA","Av","ALQ",6.32,"Unf",0,1.48,7.8,"GasA","Ex","Y","SBrkr",780,0,0,7.8,0,0,1,0,2,1,"TA",4,"Typ",0,"None","Detchd",1973,"Unf",1,3.52,"TA","TA","Y",1.96,0,0,0,0,0,"None","MnPrv","None",0,1,2008,"WD","Normal",124900
"61",61,20,"RL",0.63,130.72,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","SawyerW","RRAe","Norm","1Fam","1Story",6,5,2004,2004,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","PConc","Gd","TA","No","ALQ",9.41,"Unf",0,2.17,11.58,"GasA","Ex","Y","SBrkr",1158,0,0,11.58,1,0,1,1,3,1,"Gd",5,"Typ",0,"None","Detchd",2006,"Unf",2,5.76,"TA","TA","Y",0,0.5,0,0,0,0,"None","None","None",0,5,2006,"New","Partial",158000
"62",62,75,"RM",0.6,72,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","IDOTRR","Norm","Norm","1Fam","2.5Unf",5,7,1920,1996,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","BrkTil","TA","Fa","No","Unf",0,"Unf",0,5.3,5.3,"GasA","TA","N","SBrkr",581,530,0,11.11,0,0,1,0,3,1,"Fa",6,"Typ",0,"None","Detchd",1935,"Unf",1,2.88,"TA","TA","N",0,0,1.44,0,0,0,"None","None","None",0,3,2007,"WD","Normal",101000
"63",63,120,"RL",0.44,64.42,"Pave","None","IR1","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","TwnhsE","1Story",8,5,2006,2006,"Gable","CompShg","VinylSd","VinylSd","Stone",178,"Gd","TA","PConc","Gd","Gd","Mn","GLQ",0.24,"Unf",0,13.46,13.7,"GasA","Ex","Y","SBrkr",1370,0,0,13.7,0,0,2,0,2,1,"Gd",6,"Typ",1,"Gd","Attchd",2006,"RFn",2,4.84,"TA","TA","Y",1.2,0.49,0,0,0,0,"None","None","None",0,10,2007,"WD","Normal",202500
"68",68,20,"RL",0.72,106.65,"Pave","None","IR1","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","1Story",7,5,2003,2003,"Gable","CompShg","VinylSd","VinylSd","BrkFace",167,"Gd","TA","PConc","Gd","TA","Av","GLQ",10.13,"Unf",0,4.4,14.53,"GasA","Ex","Y","SBrkr",1479,0,0,14.79,1,0,2,0,3,1,"Gd",7,"Typ",0,"None","Attchd",2003,"RFn",2,5.58,"TA","TA","Y",1.44,0.29,0,0,0,0,"None","None","None",0,6,2007,"WD","Normal",226000
"72",72,20,"RL",0.69,75.99,"Pave","None","Reg","Lvl","AllPub","Corner","Gtl","Mitchel","Norm","Norm","1Fam","1Story",4,6,1982,2006,"Gable","CompShg","HdBoard","Plywood","None",0,"TA","TA","CBlock","TA","TA","No","ALQ",5.65,"Unf",0,2.8,8.45,"GasA","TA","Y","SBrkr",845,0,0,8.45,1,0,1,0,2,1,"TA",4,"Typ",0,"None","Detchd",1987,"Unf",2,3.6,"TA","TA","Y",0,0,0,0,0,0,"None","None","None",0,6,2007,"WD","Normal",129500
"73",73,60,"RL",0.74,101.41,"Pave","None","IR1","Lvl","AllPub","Corner","Gtl","Gilbert","Norm","Norm","1Fam","2Story",7,5,1998,1998,"Gable","CompShg","VinylSd","VinylSd","BrkFace",40,"TA","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,8.32,8.32,"GasA","Gd","Y","SBrkr",885,833,0,17.18,0,0,2,1,3,1,"TA",7,"Typ",1,"TA","Attchd",1998,"Fin",2,4.27,"TA","TA","Y",0,0.94,0,0,2.91,0,"None","None","None",0,12,2009,"WD","Normal",185000
"74",74,20,"RL",0.85,102,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,7,1954,2003,"Gable","CompShg","Wd Sdng","Wd Sdng","BrkFace",104,"TA","TA","CBlock","TA","TA","No","ALQ",3.2,"BLQ",3.62,4.04,10.86,"GasA","Gd","Y","SBrkr",1086,0,0,10.86,1,0,1,0,3,1,"TA",6,"Typ",0,"None","Attchd",1989,"Unf",2,4.9,"TA","TA","Y",0,0,0,0,0,0,"None","GdWo","None",0,5,2010,"WD","Normal",144900
"76",76,180,"RM",0.21,15.96,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","MeadowV","Norm","Norm","Twnhs","SLvl",4,5,1973,1973,"Gable","CompShg","CemntBd","CmentBd","None",0,"TA","TA","CBlock","Gd","TA","Gd","GLQ",4.62,"Unf",0,0,4.62,"GasA","TA","Y","SBrkr",526,462,0,9.88,1,0,1,0,2,1,"TA",5,"Typ",0,"None","BuiltIn",1973,"Unf",1,2.97,"TA","TA","Y",1.2,1.01,0,0,0,0,"None","GdWo","None",0,11,2009,"WD","Normal",91000
"77",77,20,"RL",0.69,84.75,"Pave","None","IR1","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",4,7,1956,1956,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","CBlock","TA","TA","No","ALQ",2.28,"Unf",0,7.24,9.52,"GasA","Ex","Y","FuseA",952,0,0,9.52,0,0,1,0,2,1,"TA",4,"Typ",0,"None","Detchd",1956,"Unf",1,2.83,"TA","TA","Y",0,0,0,0,0,0,"None","None","None",0,4,2008,"WD","Normal",135750
"78",78,50,"RM",0.5,86.35,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","BrkSide","Norm","Norm","1Fam","1.5Fin",5,5,1948,2001,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","CBlock","TA","TA","No","BLQ",3.36,"GLQ",0.41,2.95,6.72,"GasA","TA","Y","SBrkr",1072,213,0,12.85,1,0,1,0,2,1,"TA",6,"Min1",0,"None","Detchd",1948,"Unf",1,2.4,"TA","TA","Y",0,0,0,0,0,0,"None","MnPrv","None",0,1,2008,"WD","Normal",127000
"80",80,50,"RM",0.6,104.4,"Pave","Grvl","Reg","Lvl","AllPub","Corner","Gtl","OldTown","Norm","Norm","1Fam","2Story",5,6,1910,1981,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","PConc","TA","TA","No","Unf",0,"Unf",0,4.4,4.4,"GasA","Gd","Y","SBrkr",682,548,0,12.3,0,0,1,1,2,1,"TA",5,"Typ",0,"None","Detchd",1966,"Unf",2,4.4,"TA","TA","Y",0.74,0,1.28,0,0,0,"None","MnPrv","None",0,5,2009,"WD","Normal",110000
"82",82,120,"RM",0.32,45,"Pave","None","Reg","Lvl","AllPub","FR2","Gtl","Mitchel","Norm","Norm","TwnhsE","1Story",6,5,1998,1998,"Hip","CompShg","VinylSd","VinylSd","BrkFace",443,"TA","Gd","PConc","Ex","Gd","No","GLQ",12.01,"Unf",0,0.36,12.37,"GasA","Ex","Y","SBrkr",1337,0,0,13.37,1,0,2,0,2,1,"TA",5,"Typ",0,"None","Attchd",1998,"Fin",2,4.05,"TA","TA","Y",0,1.99,0,0,0,0,"None","None","None",0,3,2006,"WD","Normal",153500
