"Id","MSSubClass","LotFrontage","LotArea","OverallQual","OverallCond","YearBuilt","YearRemodAdd","MasVnrArea","BsmtFinSF1","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","TotRmsAbvGrd","Fireplaces","GarageYrBlt","GarageCars","GarageArea","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","MiscVal","MoSold","YrSold","SalePrice","Neighborhood"
17,20,0.69,112.41,6,7,1970,1970,180,5.78,0,4.26,10.04,1004,0,0,10.04,1,0,1,0,2,1,5,1,1970,2,4.8,0,0,0,0,0,0,700,3,2010,149000,"NAmes"
19,20,0.66,136.95,5,5,2004,2004,0,6.46,0,4.68,11.14,1114,0,0,11.14,1,0,1,1,3,1,6,0,2004,2,5.76,0,1.02,0,0,0,0,0,6,2008,159000,"SawyerW"
20,20,0.7,75.6,5,6,1958,1965,0,5.04,0,5.25,10.29,1339,0,0,13.39,0,0,1,0,3,1,6,0,1958,1,2.94,0,0,0,0,0,0,0,5,2009,139000,"NAmes"
22,45,0.57,74.49,7,7,1930,1950,0,0,0,6.37,6.37,1108,0,0,11.08,0,0,1,0,3,1,6,1,1930,1,2.8,0,0,2.05,0,0,0,0,6,2007,139400,"IDOTRR"
24,120,0.44,42.24,5,7,1976,1976,0,8.4,0,2,10.4,1060,0,0,10.6,1,0,1,0,3,1,6,1,1976,2,5.72,1,1.1,0,0,0,0,0,6,2007,129900,"MeadowV"
25,20,0.69,82.46,5,8,1968,2001,0,1.88,6.68,2.04,10.6,1060,0,0,10.6,1,0,1,0,3,1,6,1,1968,1,2.7,4.06,0.9,0,0,0,0,0,5,2010,154000,"Sawyer"
27,20,0.6,72,5,7,1951,2000,0,2.34,4.86,1.8,9,900,0,0,9,0,1,1,0,3,1,5,0,2005,2,5.76,2.22,0.32,0,0,0,0,0,5,2010,134800,"NAmes"
32,20,0.69,85.44,5,6,1966,2006,0,0,0,12.28,12.28,1228,0,0,12.28,0,0,1,1,3,1,6,0,1966,1,2.71,0,0.65,0,0,0,0,0,6,2008,149350,"Sawyer"
34,20,0.7,105.52,5,5,1959,1959,0,10.18,0,3.8,13.98,1700,0,0,17,0,1,1,1,4,1,6,1,1959,2,4.47,0,0.38,0,0,0,0,0,4,2010,165500,"NAmes"
37,20,1.12,108.59,5,5,1994,1995,0,0,0,10.97,10.97,1097,0,0,10.97,0,0,1,1,3,1,6,0,1995,2,6.72,3.92,0.64,0,0,0,0,0,6,2009,145000,"CollgCr"
41,20,0.84,86.58,6,5,1965,1965,101,6.43,0,4.45,10.88,1324,0,0,13.24,0,0,2,0,3,1,6,1,1965,2,4.4,0,1.38,0,0,0,0,0,12,2006,160000,"NAmes"
42,20,1.15,169.05,5,6,1959,1959,0,9.67,0,3.83,13.5,1328,0,0,13.28,0,1,1,1,2,1,5,2,1959,1,3.08,0,1.04,0,0,0,0,0,7,2007,170000,"Timber"
43,85,0.69,91.8,5,7,1983,1983,0,7.47,0.93,0,8.4,884,0,0,8.84,1,0,1,0,2,1,5,0,1983,2,5.04,2.4,0,0,0,0,0,0,12,2007,144000,"SawyerW"
44,20,0.69,92,5,6,1975,1980,0,2.8,4.91,1.67,9.38,938,0,0,9.38,1,0,1,0,3,1,5,0,1977,1,3.08,1.45,0,0,0,0,0,0,7,2008,130250,"CollgCr"
45,20,0.7,79.45,5,6,1959,1959,0,1.79,5.06,4.65,11.5,1150,0,0,11.5,1,0,1,0,3,1,6,0,1959,1,3,0,0,0,0,0,0,0,5,2006,141000,"NAmes"
50,20,0.66,77.42,5,7,1966,1966,0,7.63,0,1.92,9.55,955,0,0,9.55,1,0,1,0,3,1,6,0,1966,1,3.86,0,0,0,0,0,0,0,1,2007,127000,"Sawyer"
51,60,0.69,138.69,6,6,1997,1997,0,1.82,0,6.12,7.94,794,676,0,14.7,0,1,2,0,3,1,6,0,1997,2,3.88,0,0.75,0,0,0,0,0,7,2007,177000,"Gilbert"
52,50,0.52,62.4,6,6,1934,1950,0,0,0,8.16,8.16,816,0,3.6,11.76,0,0,1,0,3,1,6,1,1985,2,5.28,1.12,0,0,0,0,0,400,9,2006,114500,"BrkSide"
53,90,1.1,84.72,5,5,1963,1963,0,1.04,7.12,0,8.16,816,0,0,8.16,1,0,1,0,2,1,5,0,1963,2,5.16,1.06,0,0,0,0,0,0,5,2010,110000,"IDOTRR"
55,80,0.6,71.34,5,5,1955,1955,0,3.84,0,0,3.84,1360,0,0,13.6,0,0,1,0,3,1,6,1,1962,2,5.72,0,0.5,0,0,0,0,0,2,2007,130000,"NAmes"
56,20,1,101.75,6,5,1964,1964,272,4.9,0,9.35,14.25,1425,0,0,14.25,0,0,2,0,3,1,7,1,1964,2,5.76,0,0,0,407,0,0,0,7,2008,180500,"NAmes"
58,60,0.89,116.45,7,5,2004,2004,0,0,0,8.6,8.6,860,860,0,17.2,0,0,2,1,3,1,7,0,2004,2,5.65,0,0.7,0,0,0,0,0,8,2006,196500,"CollgCr"
60,20,0.6,72,5,7,1972,1972,0,6.32,0,1.48,7.8,780,0,0,7.8,0,0,1,0,2,1,4,0,1973,1,3.52,1.96,0,0,0,0,0,0,1,2008,124900,"CollgCr"
61,20,0.63,130.72,6,5,2004,2004,0,9.41,0,2.17,11.58,1158,0,0,11.58,1,0,1,1,3,1,5,0,2006,2,5.76,0,0.5,0,0,0,0,0,5,2006,158000,"SawyerW"
62,75,0.6,72,5,7,1920,1996,0,0,0,5.3,5.3,581,530,0,11.11,0,0,1,0,3,1,6,0,1935,1,2.88,0,0,1.44,0,0,0,0,3,2007,101000,"IDOTRR"
63,120,0.44,64.42,8,5,2006,2006,178,0.24,0,13.46,13.7,1370,0,0,13.7,0,0,2,0,2,1,6,1,2006,2,4.84,1.2,0.49,0,0,0,0,0,10,2007,202500,"NridgHt"
68,20,0.72,106.65,7,5,2003,2003,167,10.13,0,4.4,14.53,1479,0,0,14.79,1,0,2,0,3,1,7,0,2003,2,5.58,1.44,0.29,0,0,0,0,0,6,2007,226000,"CollgCr"
72,20,0.69,75.99,4,6,1982,2006,0,5.65,0,2.8,8.45,845,0,0,8.45,1,0,1,0,2,1,4,0,1987,2,3.6,0,0,0,0,0,0,0,6,2007,129500,"Mitchel"
73,60,0.74,101.41,7,5,1998,1998,40,0,0,8.32,8.32,885,833,0,17.18,0,0,2,1,3,1,7,1,1998,2,4.27,0,0.94,0,0,2.91,0,0,12,2009,185000,"Gilbert"
74,20,0.85,102,5,7,1954,2003,104,3.2,3.62,4.04,10.86,1086,0,0,10.86,1,0,1,0,3,1,6,0,1989,2,4.9,0,0,0,0,0,0,0,5,2010,144900,"NAmes"
76,180,0.21,15.96,4,5,1973,1973,0,4.62,0,0,4.62,526,462,0,9.88,1,0,1,0,2,1,5,0,1973,1,2.97,1.2,1.01,0,0,0,0,0,11,2009,91000,"MeadowV"
77,20,0.69,84.75,4,7,1956,1956,0,2.28,0,7.24,9.52,952,0,0,9.52,0,0,1,0,2,1,4,0,1956,1,2.83,0,0,0,0,0,0,0,4,2008,135750,"NAmes"
78,50,0.5,86.35,5,5,1948,2001,0,3.36,0.41,2.95,6.72,1072,213,0,12.85,1,0,1,0,2,1,6,0,1948,1,2.4,0,0,0,0,0,0,0,1,2008,127000,"BrkSide"
80,50,0.6,104.4,5,6,1910,1981,0,0,0,4.4,4.4,682,548,0,12.3,0,0,1,1,2,1,5,0,1966,2,4.4,0.74,0,1.28,0,0,0,0,5,2009,110000,"OldTown"
82,120,0.32,45,6,5,1998,1998,443,12.01,0,0.36,12.37,1337,0,0,13.37,1,0,2,0,2,1,5,0,1998,2,4.05,0,1.99,0,0,0,0,0,3,2006,153500,"Mitchel"
84,20,0.8,88.92,5,5,1960,1960,66,0,0,10.65,10.65,1065,0,0,10.65,0,0,1,1,3,1,6,0,1974,2,4.61,0.74,0,0,0,0,0,0,7,2007,126500,"NAmes"
85,80,0.69,85.3,7,5,1995,1996,22,0,0,3.84,3.84,804,670,0,14.74,0,0,2,1,3,1,7,1,1995,2,4,1.2,0.72,0,0,0,0,700,5,2009,168500,"Gilbert"
87,60,1.22,119.11,6,5,2005,2005,0,0,0,6.84,6.84,684,876,0,15.6,0,0,2,1,3,1,6,1,2005,2,4,1,0.38,0,0,0,0,0,3,2009,174000,"Gilbert"
88,160,0.4,39.51,6,5,2009,2009,76,0,0,6.12,6.12,612,612,0,12.24,0,0,2,1,2,1,4,0,2009,2,5.28,0,2.34,0,0,0,0,0,6,2009,164500,"Somerst"
90,20,0.6,80.7,4,5,1994,1995,0,5.88,0,4.02,9.9,990,0,0,9.9,1,0,1,0,3,1,5,0,1980,0,0,0,0,0,0,0,0,0,8,2007,123600,"CollgCr"
91,20,0.6,72,4,5,1950,1950,0,0,0,0,0,1040,0,0,10.4,0,0,1,0,2,1,4,0,1950,2,4.2,0,0.29,0,0,0,0,0,7,2006,109900,"NAmes"
93,30,0.8,133.6,5,7,1921,2006,0,7.13,0,1.63,8.76,964,0,0,9.64,1,0,1,0,2,1,5,0,1921,2,4.32,0,0,0.44,0,0,0,0,8,2009,163500,"Crawfor"
95,60,0.69,93.37,6,5,1997,1997,0,6.48,0,1.76,8.24,905,881,0,17.86,1,0,2,1,3,1,7,0,1997,2,6.84,0,1.62,0,0,0,0,0,5,2007,204750,"CollgCr"
96,60,0.69,97.65,6,8,1993,1993,68,3.1,0,3.7,6.8,680,790,0,14.7,0,0,2,1,3,1,6,1,1993,2,4.2,2.32,0.63,0,0,0,0,480,4,2009,185000,"Gilbert"
97,20,0.78,102.64,7,5,1999,1999,183,11.62,0,4.26,15.88,1588,0,0,15.88,0,0,2,0,3,1,6,0,1999,2,4.72,1.58,0.29,0,0,0,0,0,8,2006,214000,"CollgCr"
98,20,0.73,109.21,4,5,1965,1965,48,5.2,0,4.4,9.6,960,0,0,9.6,1,0,1,0,3,1,6,0,1965,1,4.32,1.2,0,0,0,0,0,0,5,2007,94750,"Edwards"
99,30,0.85,106.25,5,5,1920,1950,0,1.08,0,3.5,4.58,835,0,0,8.35,0,0,1,0,2,1,5,0,1920,1,3.66,0,0,0.77,0,0,0,400,5,2010,83000,"Edwards"
101,20,0.69,106.03,6,7,1977,2001,28,12,0,4.1,16.1,1610,0,0,16.1,1,0,2,0,3,1,6,2,1977,2,4.8,1.68,0.68,0,0,0,0,0,2,2010,205000,"NWAmes"
102,60,0.77,92.06,6,5,1985,1985,336,0,0,7.41,7.41,977,755,0,17.32,0,0,2,1,3,1,7,1,1985,2,4.76,1.92,0.46,0,0,0,0,0,6,2010,178000,"SawyerW"
104,20,0.94,104.02,7,5,2009,2009,0,0,0,12.26,12.26,1226,0,0,12.26,0,0,2,0,3,1,6,0,2009,3,7.4,0,0.36,0,0,0,0,0,5,2010,198900,"CollgCr"
105,50,0.69,77.58,7,4,1931,1950,600,2.24,0,8.16,10.4,1226,592,0,18.18,0,0,1,1,4,1,7,2,1951,1,2.4,0,0,0,0,1.84,0,0,6,2007,169500,"IDOTRR"
107,30,0.6,108,4,7,1885,1995,0,0,0,6.41,6.41,1047,0,0,10.47,0,0,1,0,2,1,6,0,1954,1,2.73,0,0,0,0,0,0,450,8,2007,100000,"OldTown"
108,20,0.5,60,5,5,1948,1950,0,1.04,1.69,5.16,7.89,789,0,0,7.89,0,0,1,0,2,1,5,0,1948,1,2.5,0,0,0,0,0,0,0,4,2008,115000,"OldTown"
109,50,0.85,85,5,7,1919,2005,0,0,0,7.93,7.93,997,520,0,15.17,0,0,2,0,3,1,7,0,1980,0,0,0,0,1.44,0,0,0,0,8,2007,115000,"IDOTRR"
110,20,1.05,117.51,6,6,1977,1977,480,7.05,0,11.39,18.44,1844,0,0,18.44,0,0,2,0,3,1,7,1,1977,2,5.46,0,1.22,0,0,0,0,0,1,2010,190000,"NWAmes"
117,20,0.69,116.16,5,5,1962,1962,116,1.7,6.7,2.52,10.92,1092,0,0,10.92,0,1,1,0,3,1,6,1,1962,1,2.88,0,0.2,1.44,0,0,0,0,9,2009,139000,"Sawyer"
118,20,0.74,85.36,5,5,2006,2007,0,0,0,11.25,11.25,1125,0,0,11.25,0,0,1,1,2,1,5,0,2007,2,4.3,0.8,0.64,0,0,0,0,0,4,2007,155000,"Edwards"
120,60,0.65,84.61,6,5,2005,2006,0,0,0,7.28,7.28,728,728,0,14.56,0,0,2,1,3,1,8,1,2005,2,3.9,0,0.24,0,0,0,0,0,7,2006,163990,"CollgCr"
122,50,0.5,60.6,4,5,1939,1950,0,0,0,7.32,7.32,772,351,0,11.23,0,0,1,0,3,1,4,0,1979,1,2.64,0,0,1.4,0,0,0,0,6,2007,100000,"IDOTRR"
123,20,0.75,94.64,6,7,1958,1958,135,5.7,0,5.1,10.8,1080,0,0,10.8,0,0,1,0,3,1,5,0,1958,1,2.88,0,0,0,0,1.3,0,0,6,2008,136000,"NAmes"
124,120,0.55,78.92,6,5,1993,1993,0,3,0,8.99,11.99,1199,0,0,11.99,0,0,2,0,2,1,5,0,1993,2,5.3,0,0.63,0,0,0,0,0,3,2008,153900,"SawyerW"
125,20,0.48,170.43,6,5,1979,1998,0,0,0,13.62,13.62,1586,0,0,15.86,0,0,2,0,3,1,7,1,1979,2,4.35,1.92,0,0,0,0,0,0,1,2009,181000,"NWAmes"
127,120,0.69,49.28,6,5,1976,1976,0,1.2,0,9.58,10.78,958,0,0,9.58,0,0,2,0,2,1,5,1,1977,2,4.4,0,2.05,0,0,0,0,0,2,2007,128000,"NPkVill"
128,45,0.55,43.88,5,7,1930,1950,0,1.16,0,5.56,6.72,840,0,0,8.4,0,0,1,0,3,1,5,1,1980,0,0,0,0,0,0,0,0,0,6,2007,87000,"OldTown"
129,60,0.69,75.9,6,5,1966,1966,266,5.12,0,1.48,6.6,660,688,0,13.48,0,0,1,1,3,1,6,1,1966,2,4.53,1.88,1.08,0,0,0,0,0,7,2006,155000,"NAmes"
130,20,0.69,89.73,5,7,1958,1991,85,5.67,0.28,4.13,10.08,1053,0,0,10.53,0,1,1,1,3,1,6,0,1998,2,7.5,0,0.8,0,180,0,0,0,7,2006,150000,"NAmes"
133,20,0.75,73.88,5,6,1959,2002,0,4.05,0,6.58,10.63,1327,0,0,13.27,1,0,1,0,3,1,7,0,1974,2,6.24,0,0,0,0,0,0,0,7,2007,150750,"NAmes"
135,20,0.78,103.35,5,6,1968,1993,0,5.7,0,8.91,14.61,1721,0,0,17.21,0,0,2,1,3,1,7,1,1968,2,4.4,0,0.96,1.8,0,0,0,0,7,2006,180000,"Sawyer"
136,20,0.8,104,7,6,1970,1970,288,0,0,13.04,13.04,1682,0,0,16.82,0,0,2,0,3,1,7,1,1970,2,5.3,0.98,0,0,0,0,0,0,5,2008,174000,"NWAmes"
137,20,0.69,103.55,5,5,1967,1967,196,6.95,0,5.19,12.14,1214,0,0,12.14,0,0,2,0,3,1,5,1,1967,1,3.18,0,1.11,0,0,0,0,0,7,2007,143000,"NAmes"
141,20,0.7,105,4,5,1971,1971,0,4.32,0,4.32,8.64,864,0,0,8.64,0,0,1,0,3,1,5,1,1980,0,0,0,0,0,0,0,0,0,4,2010,115000,"NAmes"
143,50,0.71,85.2,5,4,1952,1952,0,5.07,0,4.03,9.1,910,475,0,13.85,0,0,2,0,4,1,6,0,2000,2,7.2,0,0,0,0,0,0,0,6,2010,166000,"NAmes"
144,20,0.78,103.35,7,5,1999,1999,183,6.79,0,8.11,14.9,1501,0,0,15.01,1,0,2,0,3,1,6,0,1999,2,5.77,1.44,0.29,0,0,0,0,0,6,2009,204000,"CollgCr"
146,160,0.24,25.22,6,5,2004,2006,50,0,0,9.7,9.7,970,739,0,17.09,0,0,2,0,3,1,7,0,2004,2,3.8,0,0.4,0,0,0,0,0,4,2006,130000,"Edwards"
147,30,0.51,61.2,5,7,1931,1993,0,2.09,0,5.06,7.15,875,0,0,8.75,1,0,1,0,2,1,5,0,1931,1,1.8,0.48,0,0,0,0,0,0,11,2009,105000,"BrkSide"
148,60,0.69,95.05,7,5,2001,2001,180,0,0,8.84,8.84,884,1151,0,20.35,0,0,2,1,3,1,8,1,2001,2,4.34,1.44,0.48,0,0,0,0,0,5,2010,222500,"Gilbert"
150,50,0.69,62.4,5,4,1936,1950,0,0,0,8.96,8.96,896,448,0,13.44,0,0,1,0,3,1,7,0,1936,1,2.4,2,1.14,0,0,0,0,0,4,2006,115000,"BrkSide"
151,20,1.2,103.56,5,6,1975,1975,0,7.16,0,2.53,9.69,969,0,0,9.69,0,0,1,1,3,1,5,0,1975,2,4.4,0,0,0,0,0,0,0,1,2007,122000,"CollgCr"
153,60,0.69,148.03,6,5,1971,1971,252,4.16,0,4.09,8.25,1097,896,0,19.93,0,0,2,1,4,1,8,1,1971,2,4.95,0,0.66,0,0,0,0,0,6,2006,190000,"NWAmes"
155,30,0.84,113.4,6,5,1923,1950,0,0,0,12,12,1200,0,0,12,0,0,1,0,4,1,7,0,1923,1,3.12,0,0,2.28,0,0,0,0,3,2006,125000,"OldTown"
157,20,0.6,72,5,7,1950,1950,0,0,0,0,0,1040,0,0,10.4,0,0,1,0,2,1,5,0,1950,2,6.25,0,0,0,0,0,0,0,6,2006,109500,"NAmes"
161,20,0.69,111.2,6,6,1984,1984,0,6.6,0,5.72,12.32,1232,0,0,12.32,0,0,2,0,3,1,6,0,1984,2,5.16,0,0,0,0,0,0,0,6,2008,162500,"Veenker"
163,20,0.95,121.82,7,5,2005,2005,226,12.01,0,3.4,15.41,1541,0,0,15.41,0,0,2,0,3,1,7,1,2005,2,5.32,0,0.7,0,0,0,0,0,5,2010,220000,"NridgHt"
164,45,0.55,55,4,6,1956,1956,0,0,0,8.82,8.82,882,0,0,8.82,0,0,1,0,1,1,4,0,1980,0,0,0,0,0,0,0,0,0,4,2007,103200,"OldTown"
165,40,0.4,54,6,7,1926,2004,0,3.7,0,7.79,11.49,1149,467,0,16.16,0,0,2,0,3,1,5,0,1926,1,2.16,0,0,1.83,0,0,0,0,10,2007,152000,"OldTown"
169,60,0.62,82.44,7,5,2004,2004,0,0,0,8.4,8.4,840,880,0,17.2,0,0,2,1,3,1,7,1,2004,2,4.4,1,0.48,0,0,0,0,0,5,2007,183500,"Gilbert"
171,50,0.69,123.58,5,6,1941,1950,0,3.6,0,3.6,7.2,854,0,5.28,13.82,0,0,1,1,2,1,7,0,1991,2,6.6,2.37,0,0,0,0,0,0,5,2007,128500,"OldTown"
174,20,0.8,101.97,6,5,1961,1961,491,2.88,3.74,7,13.62,1362,0,0,13.62,1,0,1,1,3,1,6,1,1961,2,5.04,0,0.2,0,0,0,0,0,6,2008,163000,"NAmes"
175,20,0.47,124.16,6,5,1986,1986,132,13.98,2.08,0,16.06,1651,0,0,16.51,1,0,2,0,3,1,7,1,1986,2,6.16,1.92,0,0,0,0,0,0,11,2008,184000,"Timber"
177,60,0.97,100.29,6,5,1988,1989,268,8.31,0,3.2,11.51,1164,896,0,20.6,0,1,2,1,4,1,8,1,1988,2,5.21,0,2.28,0,0,1.92,0,0,9,2007,211000,"ClearCr"
178,50,0.69,136.5,5,5,1958,1958,0,0.57,4.41,5.54,10.52,1252,668,0,19.2,1,0,2,0,4,1,8,1,1958,2,4.51,0,0,0,0,0,0,0,7,2006,172500,"Sawyer"
181,160,0.69,21.17,6,5,2000,2000,456,4.36,0,3.2,7.56,769,756,0,15.25,0,0,2,1,3,1,5,1,2000,2,4.4,0,0,0,0,0,0,0,6,2007,177000,"Somerst"
183,20,0.6,90.6,5,6,1957,2006,98,0,0,0,0,1340,0,0,13.4,0,0,1,0,3,1,7,1,1957,1,2.52,1.16,0,0,180,0,0,0,6,2007,120000,"Edwards"
184,50,0.63,114.26,7,5,2003,2003,0,0,0,13.62,13.62,1362,720,0,20.82,0,0,2,1,3,1,6,0,2003,2,4.84,2.8,2.38,0,0,0,0,0,6,2008,200000,"OldTown"
185,50,0.92,74.38,5,8,1908,1991,0,0,0,5.04,5.04,936,316,0,12.52,0,0,1,0,3,1,5,0,1986,2,5.76,1.04,0,0,0,0,0,0,6,2006,127000,"BrkSide"
187,80,0.69,99.47,7,5,1990,1991,0,6.11,0,5.77,11.88,1217,0,0,12.17,1,0,2,0,3,1,6,0,1990,2,4.97,1.68,0.27,0,0,0,0,0,6,2009,173000,"Mitchel"
192,60,0.69,74.72,7,9,1972,2004,138,6.26,0,0.99,7.25,725,754,0,14.79,1,0,1,1,4,1,7,0,1972,2,4.84,0,0.32,0,0,0,0,0,6,2007,184000,"NAmes"
193,20,0.68,90.17,7,5,1999,1999,0,5.6,0,8.71,14.31,1431,0,0,14.31,1,0,2,0,3,1,6,0,1999,2,6.66,0,0.35,0,0,0,0,0,9,2009,192000,"CollgCr"
194,160,0.24,25.22,7,5,2004,2004,50,0,0,9.7,9.7,970,739,0,17.09,0,0,2,0,3,1,7,0,2004,2,3.8,0,0.4,0,0,0,0,0,5,2006,130000,"Edwards"
195,20,0.6,71.8,5,7,1972,1972,0,3.9,0,4.74,8.64,864,0,0,8.64,0,0,1,0,3,1,5,0,1989,1,3.52,0,0,0,0,0,0,0,5,2008,127000,"CollgCr"
196,160,0.24,22.8,6,6,1976,1976,0,5.66,0,2.89,8.55,855,601,0,14.56,0,0,2,1,3,1,7,1,1976,2,4.4,0.87,0,0,0,0,0,0,7,2009,148500,"NPkVill"
201,20,0.8,85.46,4,5,2003,2004,0,0,0,11.21,11.21,1121,0,0,11.21,0,0,2,0,2,1,5,0,2003,2,4.4,1.32,0.64,0,0,0,0,0,3,2010,140000,"Edwards"
202,20,0.75,101.25,6,6,1977,1977,0,6.41,2.79,2.76,11.96,1279,0,0,12.79,0,1,2,0,3,1,6,2,1980,2,4.73,2.38,0.83,0,0,0,0,0,2,2008,171500,"Mitchel"
203,50,0.5,70,6,6,1924,1950,0,6.17,0,0,6.17,865,445,0,13.1,0,0,2,0,2,1,6,0,1924,1,3.98,0,0,1.26,0,0,0,0,5,2006,112000,"OldTown"
205,50,0.5,35,5,7,1947,1950,0,3.12,0,4.08,7.2,720,564,0,12.84,0,0,1,1,2,1,5,0,1948,1,2.4,0,0.35,0,0,0,0,0,4,2009,110000,"OldTown"
206,20,0.99,118.51,7,5,1990,1990,0,0,0,14.24,14.24,1442,0,0,14.42,0,0,2,0,3,1,5,0,1990,2,5,0,0.34,0,508,0,0,0,5,2009,180500,"Gilbert"
207,20,0.4,136.73,5,5,1962,1962,0,0,0,11.4,11.4,1696,0,0,16.96,0,0,1,1,3,1,8,1,1962,1,3.49,0,0.3,0,0,0,0,0,3,2007,143900,"Sawyer"
208,20,0.69,124.93,4,5,1960,1960,0,4.19,3.06,3.75,11,1100,0,0,11,1,0,1,0,3,1,6,1,1960,1,3.12,3.55,0,0,0,0,0,0,4,2008,141000,"NAmes"
210,20,0.75,82.5,6,7,1964,1964,260,7.87,0,3.05,10.92,1092,0,0,10.92,1,0,1,0,3,1,6,0,1964,2,5.04,0,0,0,0,0,0,0,7,2008,145000,"NAmes"
211,30,0.67,56.04,5,6,1925,1950,0,4.68,0,3.96,8.64,864,0,0,8.64,1,0,1,0,2,1,5,0,1980,0,0,0,0,0.96,0,0,0,0,4,2008,98000,"Edwards"
212,20,0.83,104.2,6,5,2009,2009,0,0.36,0,11.76,12.12,1212,0,0,12.12,0,0,2,0,3,1,6,0,2009,2,4.6,1,0.22,0,0,0,0,0,3,2010,186000,"Edwards"
214,20,0.43,135.68,5,5,1995,1995,0,7.16,0,2.74,9.9,990,0,0,9.9,0,1,1,0,3,1,5,0,1996,2,5.76,2.24,0,0,0,0,0,0,7,2006,156000,"CollgCr"
215,60,0.69,109,6,7,1977,1977,153,3.78,0,3.11,6.89,689,703,0,13.92,0,0,1,1,3,1,6,0,1977,1,2.99,0,0.36,0,0,0,0,450,3,2010,161750,"CollgCr"
216,20,0.72,100.11,5,6,1957,1996,64,3.6,0,7.1,10.7,1236,0,0,12.36,0,1,1,0,2,1,6,1,1957,1,4.47,0,0,0,0,0,0,0,5,2006,134450,"NAmes"
217,20,0.65,84.5,7,5,2004,2004,266,9.46,0,4.9,14.36,1436,0,0,14.36,1,0,2,0,3,1,8,0,2004,2,4.84,1.39,0.98,0,0,0,0,0,4,2008,210000,"CollgCr"
220,120,0.43,30.1,7,5,2005,2006,16,0.16,0,12.32,12.48,1248,0,0,12.48,0,0,2,0,2,1,5,0,2005,2,4.38,1.08,0,0,0,0,0,0,3,2006,167240,"Blmngtn"
222,60,0.69,80.68,6,5,2002,2002,0,0,0,10.1,10.1,1010,1257,0,22.67,0,0,2,1,4,1,8,1,2002,2,3.9,1.2,0.46,0,0,0,0,0,12,2009,200000,"Gilbert"
223,60,0.85,114.75,6,6,1975,1975,0,5.5,0,1.63,7.13,811,741,0,15.52,1,0,2,1,3,1,6,1,1975,2,4.34,2.09,2.08,0,0,0,0,0,2,2006,179900,"NWAmes"
